emg_key,participant_id,n_mat_step4,n_mat_sim2,n_c3d_step4,n_mat_raw,n_c3d_raw
EMG_04_R_M_gastroc_med,RD0028,12,12,12,12,12
EMG_04_R_M_gastroc_med,RD0029,15,15,15,15,15
EMG_04_R_M_gastroc_med,RD0035,13,13,13,13,13
EMG_04_R_M_gastroc_med,RD0036,22,22,22,22,22
EMG_04_R_M_gastroc_med,RD0037,8,8,8,8,8
EMG_04_R_M_gastroc_med,RD0041,23,23,23,23,23
EMG_04_R_M_gastroc_med,RD0043,15,15,15,15,15
EMG_04_R_M_gastroc_med,RD0044,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0045,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0047,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0050,12,12,12,12,12
EMG_04_R_M_gastroc_med,RD0051,8,8,8,8,8
EMG_04_R_M_gastroc_med,RD0052,16,16,16,16,16
EMG_04_R_M_gastroc_med,RD0055,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0057,17,17,17,17,17
EMG_04_R_M_gastroc_med,RD0059,9,9,9,9,9
EMG_04_R_M_gastroc_med,RD0060,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0064,16,16,16,16,16
EMG_04_R_M_gastroc_med,RD0072,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0075,7,7,7,7,7
EMG_04_R_M_gastroc_med,RD0079,9,9,9,9,9
EMG_04_R_M_gastroc_med,RD0080,18,18,18,18,18
EMG_04_R_M_gastroc_med,RD71,4,4,4,4,4
EMG_04_R_M_m_gastroc_med,RD0002,0,0,4,0,4
EMG_05_R_M_m_soleus,RD0002,0,0,4,0,4
EMG_05_R_M_soleus,RD0001,17,17,17,17,17
EMG_05_R_M_soleus,RD0002,18,18,0,18,0
EMG_05_R_M_soleus,RD0006,14,14,14,14,14
EMG_05_R_M_soleus,RD0012,22,22,22,22,22
EMG_05_R_M_soleus,RD0016,18,18,21,18,21
EMG_05_R_M_soleus,RD0024,16,16,16,16,16
EMG_05_R_M_soleus,RD0028,12,12,12,12,12
EMG_05_R_M_soleus,RD0029,15,15,15,15,15
EMG_05_R_M_soleus,RD0035,13,13,13,13,13
EMG_05_R_M_soleus,RD0036,22,22,22,22,22
EMG_05_R_M_soleus,RD0037,8,8,8,8,8
EMG_05_R_M_soleus,RD0041,23,23,23,23,23
EMG_05_R_M_soleus,RD0043,15,15,15,15,15
EMG_05_R_M_soleus,RD0044,6,6,6,6,6
EMG_05_R_M_soleus,RD0045,4,4,4,4,4
EMG_05_R_M_soleus,RD0047,6,6,6,6,6
EMG_05_R_M_soleus,RD0050,12,12,12,12,12
EMG_05_R_M_soleus,RD0051,8,8,8,8,8
EMG_05_R_M_soleus,RD0052,16,16,16,16,16
EMG_05_R_M_soleus,RD0055,4,4,4,4,4
EMG_05_R_M_soleus,RD0057,17,17,17,17,17
EMG_05_R_M_soleus,RD0059,9,9,9,9,9
EMG_05_R_M_soleus,RD0060,6,6,6,6,6
EMG_05_R_M_soleus,RD0064,16,16,16,16,16
EMG_05_R_M_soleus,RD0072,4,4,4,4,4
EMG_05_R_M_soleus,RD0075,7,7,7,7,7
EMG_05_R_M_soleus,RD0079,9,9,9,9,9
EMG_05_R_M_soleus,RD0080,18,18,18,18,18
EMG_05_R_M_soleus,RD71,4,4,4,4,4
EMG_06_R_M_m_rectus_fem,RD0002,0,0,4,0,4
EMG_06_R_M_rectus_fem,RD0001,17,17,17,17,17
EMG_06_R_M_rectus_fem,RD0002,18,18,0,18,0
EMG_06_R_M_rectus_fem,RD0006,14,14,14,14,14
EMG_06_R_M_rectus_fem,RD0012,22,22,22,22,22
EMG_06_R_M_rectus_fem,RD0016,18,18,21,18,21
EMG_06_R_M_rectus_fem,RD0024,16,16,16,16,16
EMG_06_R_M_rectus_fem,RD0028,12,12,12,12,12
EMG_06_R_M_rectus_fem,RD0029,15,15,15,15,15
EMG_06_R_M_rectus_fem,RD0035,13,13,13,13,13
EMG_06_R_M_rectus_fem,RD0036,22,22,22,22,22
EMG_06_R_M_rectus_fem,RD0037,8,8,8,8,8
EMG_06_R_M_rectus_fem,RD0041,23,23,23,23,23
EMG_06_R_M_rectus_fem,RD0043,15,15,15,15,15
EMG_06_R_M_rectus_fem,RD0044,6,6,6,6,6
EMG_06_R_M_rectus_fem,RD0045,4,4,4,4,4
EMG_06_R_M_rectus_fem,RD0047,6,6,6,6,6
EMG_06_R_M_rectus_fem,RD0050,12,12,12,12,12
EMG_06_R_M_rectus_fem,RD0051,8,8,8,8,8
EMG_06_R_M_rectus_fem,RD0052,16,16,16,16,16
EMG_06_R_M_rectus_fem,RD0055,4,4,4,4,4
EMG_06_R_M_rectus_fem,RD0057,17,17,17,17,17
EMG_06_R_M_rectus_fem,RD0059,9,9,9,9,9
EMG_06_R_M_rectus_fem,RD0060,6,6,6,6,6
EMG_06_R_M_rectus_fem,RD0064,16,16,16,16,16
EMG_06_R_M_rectus_fem,RD0072,4,4,4,4,4
EMG_06_R_M_rectus_fem,RD0075,7,7,7,7,7
EMG_06_R_M_rectus_fem,RD0079,9,9,9,9,9
EMG_06_R_M_rectus_fem,RD0080,18,18,18,18,18
EMG_06_R_M_rectus_fem,RD71,4,4,4,4,4
EMG_07_R_M_gluteus_maximus,RD0001,17,17,17,17,17
EMG_07_R_M_gluteus_maximus,RD0002,18,18,0,18,0
EMG_07_R_M_gluteus_maximus,RD0006,14,14,14,14,14
EMG_07_R_M_gluteus_maximus,RD0012,22,22,22,22,22
EMG_07_R_M_gluteus_maximus,RD0016,18,18,21,18,21
EMG_07_R_M_gluteus_maximus,RD0024,16,16,16,16,16
EMG_07_R_M_gluteus_maximus,RD0028,12,12,12,12,12
EMG_07_R_M_gluteus_maximus,RD0029,15,15,15,15,15
EMG_07_R_M_gluteus_maximus,RD0035,13,13,13,13,13
EMG_07_R_M_gluteus_maximus,RD0036,22,22,22,22,22
EMG_07_R_M_gluteus_maximus,RD0037,8,8,8,8,8
EMG_07_R_M_gluteus_maximus,RD0041,23,23,23,23,23
EMG_07_R_M_gluteus_maximus,RD0043,15,15,15,15,15
EMG_07_R_M_gluteus_maximus,RD0044,6,6,6,6,6
EMG_07_R_M_gluteus_maximus,RD0045,4,4,4,4,4
EMG_07_R_M_gluteus_maximus,RD0047,6,6,6,6,6
EMG_07_R_M_gluteus_maximus,RD0050,12,12,12,12,12
EMG_07_R_M_gluteus_maximus,RD0051,8,8,8,8,8
EMG_07_R_M_gluteus_maximus,RD0052,16,16,16,16,16
EMG_07_R_M_gluteus_maximus,RD0055,4,4,4,4,4
EMG_07_R_M_gluteus_maximus,RD0057,17,17,17,17,17
EMG_07_R_M_gluteus_maximus,RD0059,9,9,9,9,9
EMG_07_R_M_gluteus_maximus,RD0060,6,6,6,6,6
EMG_07_R_M_gluteus_maximus,RD0064,16,16,16,16,16
EMG_07_R_M_gluteus_maximus,RD0072,4,4,4,4,4
EMG_07_R_M_gluteus_maximus,RD0075,7,7,7,7,7
EMG_07_R_M_gluteus_maximus,RD0079,9,9,9,9,9
EMG_07_R_M_gluteus_maximus,RD0080,18,18,18,18,18
EMG_07_R_M_gluteus_maximus,RD71,4,4,4,4,4
EMG_07_R_M_m_gluteus_maximus,RD0002,0,0,4,0,4
EMG_08_R_M_gluteus_medius,RD0001,17,17,17,17,17
EMG_08_R_M_gluteus_medius,RD0002,18,18,0,18,0
EMG_08_R_M_gluteus_medius,RD0006,14,14,14,14,14
EMG_08_R_M_gluteus_medius,RD0012,22,22,22,22,22
EMG_08_R_M_gluteus_medius,RD0016,18,18,21,18,21
EMG_08_R_M_gluteus_medius,RD0024,16,16,16,16,16
EMG_08_R_M_gluteus_medius,RD0028,12,12,12,12,12
EMG_08_R_M_gluteus_medius,RD0029,15,15,15,15,15
EMG_08_R_M_gluteus_medius,RD0035,13,13,13,13,13
EMG_08_R_M_gluteus_medius,RD0036,22,22,22,22,22
EMG_08_R_M_gluteus_medius,RD0037,8,8,8,8,8
EMG_08_R_M_gluteus_medius,RD0041,23,23,23,23,23
EMG_08_R_M_gluteus_medius,RD0043,15,15,15,15,15
EMG_08_R_M_gluteus_medius,RD0044,6,6,6,6,6
EMG_08_R_M_gluteus_medius,RD0045,4,4,4,4,4
EMG_08_R_M_gluteus_medius,RD0047,6,6,6,6,6
EMG_08_R_M_gluteus_medius,RD0050,12,12,12,12,12
EMG_08_R_M_gluteus_medius,RD0051,8,8,8,8,8
EMG_08_R_M_gluteus_medius,RD0052,16,16,16,16,16
EMG_08_R_M_gluteus_medius,RD0055,4,4,4,4,4
EMG_08_R_M_gluteus_medius,RD0057,17,17,17,17,17
EMG_08_R_M_gluteus_medius,RD0059,9,9,9,9,9
EMG_08_R_M_gluteus_medius,RD0060,6,6,6,6,6
EMG_08_R_M_gluteus_medius,RD0064,16,16,16,16,16
EMG_08_R_M_gluteus_medius,RD0072,4,4,4,4,4
EMG_08_R_M_gluteus_medius,RD0075,7,7,7,7,7
EMG_08_R_M_gluteus_medius,RD0079,9,9,9,9,9
EMG_08_R_M_gluteus_medius,RD0080,18,18,18,18,18
EMG_08_R_M_gluteus_medius,RD71,4,4,4,4,4
EMG_08_R_M_m_gluteus_medius,RD0002,0,0,4,0,4
EMG_09_R_M_m_vastus_lat,RD0002,0,0,4,0,4
EMG_09_R_M_vastus_lat,RD0001,17,17,17,17,17
EMG_09_R_M_vastus_lat,RD0002,18,18,0,18,0
EMG_09_R_M_vastus_lat,RD0006,14,14,14,14,14
EMG_09_R_M_vastus_lat,RD0012,22,22,22,22,22
EMG_09_R_M_vastus_lat,RD0016,18,18,21,18,21
EMG_09_R_M_vastus_lat,RD0024,16,16,16,16,16
EMG_09_R_M_vastus_lat,RD0028,12,12,12,12,12
EMG_09_R_M_vastus_lat,RD0029,15,15,15,15,15
EMG_09_R_M_vastus_lat,RD0035,13,13,13,13,13
EMG_09_R_M_vastus_lat,RD0036,22,22,22,22,22
EMG_09_R_M_vastus_lat,RD0037,8,8,8,8,8
EMG_09_R_M_vastus_lat,RD0041,23,23,23,23,23
EMG_09_R_M_vastus_lat,RD0043,15,15,15,15,15
EMG_09_R_M_vastus_lat,RD0044,6,6,6,6,6
EMG_09_R_M_vastus_lat,RD0045,4,4,4,4,4
EMG_09_R_M_vastus_lat,RD0047,6,6,6,6,6
EMG_09_R_M_vastus_lat,RD0050,12,12,12,12,12
EMG_09_R_M_vastus_lat,RD0051,8,8,8,8,8
EMG_09_R_M_vastus_lat,RD0052,16,16,16,16,16
EMG_09_R_M_vastus_lat,RD0055,4,4,4,4,4
EMG_09_R_M_vastus_lat,RD0057,17,17,17,17,17
EMG_09_R_M_vastus_lat,RD0059,9,9,9,9,9
EMG_09_R_M_vastus_lat,RD0060,6,6,6,6,6
EMG_09_R_M_vastus_lat,RD0064,16,16,16,16,16
EMG_09_R_M_vastus_lat,RD0072,4,4,4,4,4
EMG_09_R_M_vastus_lat,RD0075,7,7,7,7,7
EMG_09_R_M_vastus_lat,RD0079,9,9,9,9,9
EMG_09_R_M_vastus_lat,RD0080,18,18,18,18,18
EMG_09_R_M_vastus_lat,RD71,4,4,4,4,4
EMG_10_R_M_m_vastus_med,RD0002,0,0,4,0,4
EMG_10_R_M_vastus_med,RD0001,17,17,17,17,17
EMG_10_R_M_vastus_med,RD0002,18,18,0,18,0
EMG_10_R_M_vastus_med,RD0006,14,14,14,14,14
EMG_10_R_M_vastus_med,RD0012,22,22,22,22,22
EMG_10_R_M_vastus_med,RD0016,18,18,21,18,21
EMG_10_R_M_vastus_med,RD0024,16,16,16,16,16
EMG_10_R_M_vastus_med,RD0028,12,12,12,12,12
EMG_10_R_M_vastus_med,RD0029,15,15,15,15,15
EMG_10_R_M_vastus_med,RD0035,13,13,13,13,13
