emg_key,participant_id,source,n_cycles,corr_med,lag_med,corr_mean,lag_mean
EMG_01_R_M_tibialis_anterior,RD0035,c3d_raw,13,0.3180680317250026,0.0,0.36069771723768773,-0.23076923076923078
EMG_01_R_M_tibialis_anterior,RD0036,mat_step4,22,0.9298676889163437,0.0,0.9269661024902582,-0.09090909090909091
EMG_01_R_M_tibialis_anterior,RD0036,mat_sim2,22,0.8525455660876129,0.0,0.8552973209073826,-0.13636363636363635
EMG_01_R_M_tibialis_anterior,RD0036,mat_raw,22,0.4114863339556002,0.0,0.40304159186075544,0.0
EMG_01_R_M_tibialis_anterior,RD0036,c3d_step4,22,0.9298676889163378,0.0,0.926966102490272,-0.09090909090909091
EMG_01_R_M_tibialis_anterior,RD0036,c3d_raw,22,0.4114863339556002,0.0,0.40304159186075544,0.0
EMG_01_R_M_tibialis_anterior,RD0037,mat_step4,8,0.9330148128420073,-0.5,0.9197785918264522,0.0
EMG_01_R_M_tibialis_anterior,RD0037,mat_sim2,8,0.8790575976986493,0.0,0.8542172312688115,0.125
EMG_01_R_M_tibialis_anterior,RD0037,mat_raw,8,0.3699943983720264,0.0,0.37325498748465225,8.5
EMG_01_R_M_tibialis_anterior,RD0037,c3d_step4,8,0.9330148128420204,-0.5,0.9197785918264679,0.0
EMG_01_R_M_tibialis_anterior,RD0037,c3d_raw,8,0.3699943983720264,0.0,0.37325498748465225,8.5
EMG_01_R_M_tibialis_anterior,RD0041,mat_step4,23,0.878014962724444,0.0,0.88092880684938,0.043478260869565216
EMG_01_R_M_tibialis_anterior,RD0041,mat_sim2,23,0.8394029228542811,0.0,0.8390739714173456,0.13043478260869565
EMG_01_R_M_tibialis_anterior,RD0041,mat_raw,23,0.25210395378229583,0.0,0.2696124218811224,-1.173913043478261
EMG_01_R_M_tibialis_anterior,RD0041,c3d_step4,23,0.8780149627244628,0.0,0.8809288068493829,0.043478260869565216
EMG_01_R_M_tibialis_anterior,RD0041,c3d_raw,23,0.25210395378229583,0.0,0.2696124218811224,-1.173913043478261
EMG_01_R_M_tibialis_anterior,RD0043,mat_step4,15,0.9550615849873486,0.0,0.9289759385670558,-0.06666666666666667
EMG_01_R_M_tibialis_anterior,RD0043,mat_sim2,15,0.8932993468052617,0.0,0.8861154657259057,0.06666666666666667
EMG_01_R_M_tibialis_anterior,RD0043,mat_raw,15,0.3203030641132303,0.0,0.3346512859009012,-1.2666666666666666
EMG_01_R_M_tibialis_anterior,RD0043,c3d_step4,15,0.9550615849873546,0.0,0.9289759385670564,-0.06666666666666667
EMG_01_R_M_tibialis_anterior,RD0043,c3d_raw,15,0.3203030641132303,0.0,0.3346512859009012,-1.2666666666666666
EMG_01_R_M_tibialis_anterior,RD0044,mat_step4,6,0.9679767912003758,0.0,0.9655817172521178,-0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0044,mat_sim2,6,0.9452326504122712,0.0,0.9301948336705146,-0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0044,mat_raw,6,0.4535588955722595,0.0,0.46581421581481647,0.0
EMG_01_R_M_tibialis_anterior,RD0044,c3d_step4,6,0.967976791200382,0.0,0.9655817172521224,-0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0044,c3d_raw,6,0.4535588955722595,0.0,0.46581421581481647,0.0
EMG_01_R_M_tibialis_anterior,RD0045,mat_step4,4,0.9593219540992075,0.0,0.9576399769230863,0.25
EMG_01_R_M_tibialis_anterior,RD0045,mat_sim2,4,0.9256313130445482,0.0,0.9222501012047123,0.0
EMG_01_R_M_tibialis_anterior,RD0045,mat_raw,4,0.49713142550100736,0.0,0.5037061996663561,0.0
EMG_01_R_M_tibialis_anterior,RD0045,c3d_step4,4,0.9593219540992136,0.0,0.9576399769230903,0.25
EMG_01_R_M_tibialis_anterior,RD0045,c3d_raw,4,0.49713142550100736,0.0,0.5037061996663561,0.0
EMG_01_R_M_tibialis_anterior,RD0047,mat_step4,6,0.9391155724005034,0.0,0.9439868224461843,0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0047,mat_sim2,6,0.8851669934832747,0.0,0.8884106414407388,0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0047,mat_raw,6,0.3832537266214512,0.0,0.36179864621780805,0.0
EMG_01_R_M_tibialis_anterior,RD0047,c3d_step4,6,0.9391155724005407,0.0,0.9439868224462117,0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0047,c3d_raw,6,0.3832537266214512,0.0,0.36179864621780805,0.0
EMG_01_R_M_tibialis_anterior,RD0050,mat_step4,12,0.9673485902103651,0.0,0.9632748265432799,0.08333333333333333
EMG_01_R_M_tibialis_anterior,RD0050,mat_sim2,12,0.9244523496125705,0.0,0.910484740102533,-0.08333333333333333
EMG_01_R_M_tibialis_anterior,RD0050,mat_raw,12,0.30014701580639525,0.0,0.33846896227753814,-3.75
EMG_01_R_M_tibialis_anterior,RD0050,c3d_step4,12,0.9673485902103705,0.0,0.9632748265432888,0.08333333333333333
EMG_01_R_M_tibialis_anterior,RD0050,c3d_raw,12,0.30014701580639525,0.0,0.33846896227753814,-3.75
EMG_01_R_M_tibialis_anterior,RD0051,mat_step4,8,0.894994050945444,0.0,0.8889293617329073,0.0
EMG_01_R_M_tibialis_anterior,RD0051,mat_sim2,8,0.8800599544289387,0.0,0.8608333208287715,0.0
EMG_01_R_M_tibialis_anterior,RD0051,mat_raw,8,0.43197224573459714,0.0,0.42782680190008215,2.125
EMG_01_R_M_tibialis_anterior,RD0051,c3d_step4,8,0.8949940509454579,0.0,0.8889293617329235,0.0
EMG_01_R_M_tibialis_anterior,RD0051,c3d_raw,8,0.43197224573459714,0.0,0.42782680190008215,2.125
EMG_01_R_M_tibialis_anterior,RD0052,mat_step4,16,0.9776470684285878,0.0,0.9733680199846627,0.125
EMG_01_R_M_tibialis_anterior,RD0052,mat_sim2,16,0.9497954830332821,0.0,0.9426499038663829,0.0
EMG_01_R_M_tibialis_anterior,RD0052,mat_raw,16,0.47028864454143576,0.0,0.4556838453004691,8.1875
EMG_01_R_M_tibialis_anterior,RD0052,c3d_step4,16,0.9776470684285957,0.0,0.9733680199846707,0.125
EMG_01_R_M_tibialis_anterior,RD0052,c3d_raw,16,0.47028864454143576,0.0,0.4556838453004691,8.1875
EMG_01_R_M_tibialis_anterior,RD0055,mat_step4,4,0.9818464333223182,0.0,0.9803813079641498,0.0
EMG_01_R_M_tibialis_anterior,RD0055,mat_sim2,4,0.9519532888164588,0.0,0.9523041553441054,0.0
EMG_01_R_M_tibialis_anterior,RD0055,mat_raw,4,0.5390921659849277,0.0,0.5339469307176044,0.0
EMG_01_R_M_tibialis_anterior,RD0055,c3d_step4,4,0.9818464333223167,0.0,0.9803813079641468,0.0
EMG_01_R_M_tibialis_anterior,RD0055,c3d_raw,4,0.5390921659849277,0.0,0.5339469307176044,0.0
EMG_01_R_M_tibialis_anterior,RD0057,mat_step4,17,0.9451479366016827,0.0,0.8962893540094834,0.17647058823529413
EMG_01_R_M_tibialis_anterior,RD0057,mat_sim2,17,0.8705410562699987,0.0,0.8376708716506531,0.11764705882352941
EMG_01_R_M_tibialis_anterior,RD0057,mat_raw,17,0.30710089609365543,0.0,0.3289954397286357,11.0
EMG_01_R_M_tibialis_anterior,RD0057,c3d_step4,17,0.9451479366016862,0.0,0.8962893540094948,0.17647058823529413
EMG_01_R_M_tibialis_anterior,RD0057,c3d_raw,17,0.30710089609365543,0.0,0.3289954397286357,11.0
EMG_01_R_M_tibialis_anterior,RD0059,mat_step4,9,0.9842201074064194,0.0,0.971213293267765,0.1111111111111111
EMG_01_R_M_tibialis_anterior,RD0059,mat_sim2,9,0.9382460079340721,0.0,0.9282698894454158,0.2222222222222222
EMG_01_R_M_tibialis_anterior,RD0059,mat_raw,9,0.34558111042311307,0.0,0.3746080384530809,-14.88888888888889
EMG_01_R_M_tibialis_anterior,RD0059,c3d_step4,9,0.9842201074064042,0.0,0.9712132932677713,0.1111111111111111
EMG_01_R_M_tibialis_anterior,RD0059,c3d_raw,9,0.34558111042311307,0.0,0.3746080384530809,-14.88888888888889
EMG_01_R_M_tibialis_anterior,RD0060,mat_step4,6,0.9609731773189825,0.0,0.9501944377741474,0.0
EMG_01_R_M_tibialis_anterior,RD0060,mat_sim2,6,0.9249335484862975,0.0,0.9208810599532956,0.0
EMG_01_R_M_tibialis_anterior,RD0060,mat_raw,6,0.42598010102002926,0.0,0.44473138968928133,0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0060,c3d_step4,6,0.9609731773189624,0.0,0.9501944377741397,0.0
EMG_01_R_M_tibialis_anterior,RD0060,c3d_raw,6,0.42598010102002926,0.0,0.44473138968928133,0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0064,mat_step4,16,0.9127068607039734,0.0,0.9000760722197074,0.0625
EMG_01_R_M_tibialis_anterior,RD0064,mat_sim2,16,0.8354771524066495,0.0,0.8238028195886051,0.0625
EMG_01_R_M_tibialis_anterior,RD0064,mat_raw,16,0.291677285044587,0.0,0.30532491662651673,3.0
EMG_01_R_M_tibialis_anterior,RD0064,c3d_step4,16,0.9127068607039961,0.0,0.9000760722197176,0.0625
